k,t,Bus_IMU.imu_gyro.1,Bus_IMU.imu_gyro.2,Bus_IMU.imu_gyro.3,Bus_IMU.imu_acc.1,Bus_IMU.imu_acc.2,Bus_IMU.imu_acc.3,Bus_Cmd.F_des.1,Bus_Cmd.q_des.1,Bus_Cmd.q_des.2,Bus_Cmd.q_des.3,Bus_Cmd.q_des.4,Bus_Cmd.q_ref.1,Bus_Cmd.q_ref.2,Bus_Cmd.q_ref.3,Bus_Cmd.q_ref.4,Bus_Cmd.Omega_ref.1,Bus_Cmd.Omega_ref.2,Bus_Cmd.Omega_ref.3,Bus_Cmd.tau_ref.1,Bus_Cmd.tau_ref.2,Bus_Cmd.tau_ref.3,Bus_Cmd.q_ext.1,Bus_Cmd.q_ext.2,Bus_Cmd.q_ext.3,Bus_Cmd.q_ext.4,Bus_Cmd.estop.1,Bus_Cmd.ack.1,batt_count.1,btn_ack.1,rotor_cmd.1,rotor_cmd.2,rotor_cmd.3,rotor_cmd.4,led.1,throttle.1,throttle.2,throttle.3,throttle.4
0,0,-0.1728281316258391,0.17051102458820627,-0.17229373717384208,0.015801756040292117,-0.12023136954327719,0.03458091411725675,9.6633808404797517,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,944,0,1161.3194149663559,1410.8139541387568,1165.127732644951,1340.3509740548309,0,41.431627340421706,52.272547379045839,41.591948075736632,49.141299369973765
1,0.001,-0.16721269532058886,0.16581760445724864,-0.16873035526265298,0.041010709160124163,-0.10492043352984315,-0.053222630238385193,9.6633808404797517,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,944,0,1161.4227691569236,1409.4470328235168,1168.2427070991125,1338.9874361087623,0,41.435976185335647,52.211283335251878,41.723199632307683,49.081245948787839
2,0.002,-0.15541061423226896,0.16050668826962378,-0.15757412081653283,0.16312757932302913,0.063017096664141362,-0.00082526547463623867,9.6633808404797517,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,944,0,1168.2181950628924,1401.0039969531242,1174.9146187805034,1336.0957494205884,0,41.72216638358573,51.833331391432758,42.004685008124106,48.953957072761916
3,0.0030000000000000001,-0.15023832968804068,0.14880029383124618,-0.15119140452991864,-0.13900021737999058,0.068692188751366165,-0.30802057145774142,9.6633808404797517,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,944,0,1171.9857399571979,1396.9155946276121,1178.3353226701452,1334.0630712112304,0,41.881056324279285,51.650596686273616,42.149193449194549,48.864535972264093
4,0.0040000000000000001,-0.13423747703732311,0.13563023459515283,-0.13161461850967554,-0.034154652098046412,0.0877455286140809,-0.11949951298030095,9.6633808404797517,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,944,0,1185.8735366234221,1383.4112925415693,1189.189063051921,1326.2083874417881,0,42.468102351037693,51.048319455835397,42.608566113508367,48.519422582564069
5,0.0050000000000000001,-0.11945924017559859,0.12289461146969546,-0.11892272454972275,-0.026350949766731982,0.1677159055259303,-0.29899683291097257,11.112399670400098,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,0,1292.5120625241091,1459.7029026682669,1293.696470380708,1411.3085537520983,0,47.046614170985109,54.477241697894421,47.098170382006494,52.29471991231015
6,0.0060000000000000001,-0.10675428465385381,0.10800989414073893,-0.10453722945060502,-0.12352522934064215,0.16217890569434049,-0.4291503580958535,11.112399670400098,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,0,1301.2382751599994,1449.9721319088399,1301.361874555246,1406.2643516061448,0,47.426821071181564,54.036323238714864,47.432212407462913,52.068718552831072
7,0.0070000000000000001,-0.089753334353349271,0.089360119349734771,-0.093171137052712003,-0.01570759971850234,-0.025041209174666547,-0.69695831656409235,11.112399670400098,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,0,1307.4588357832438,1441.125415934117,1307.9411033173592,1403.4818793742381,0,47.69836745412735,53.636368622020193,47.71943771324753,51.94417217470798
8,0.0080000000000000002,-0.077405934789150532,0.0782097912954407,-0.075484000509867477,-0.08765639408719117,0.094963889596295176,-0.6633738354846731,11.112399670400098,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,0,1318.0887044970075,1429.7691723198163,1317.648129970022,1396.054466611401,0,48.163380683729763,53.124224215177087,48.144082611922947,51.612131308539723
9,0.0090000000000000011,-0.064314526650016635,0.060910664109986953,-0.062005813255792117,-0.084080592684228669,-0.10404023704127824,-0.78790839445336081,11.112399670400098,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,0,1325.3123583072945,1420.1734473615422,1325.7861595647469,1391.2972287155542,0,48.480096717595003,52.692583771948044,48.500890300828019,51.399779481615433
